"","String","Count"
"849","i've_been_trying_to",1610
"850","and_i_am_not",1610
"851","i_don't_think_it",1610
"852","i_was_at_the",1610
"853","you_want_to_know",1600
"854","chance_to_win_a",1600
"855","my_way_to_the",1600
"856","did_not_want_to",1600
"857","i_get_to_see",1600
"858","everyone_who_came_out",1600
"859","i_don't_need_to",1600
"860","this_is_the_best",1600
"861","i_can't_believe_i",1600
"862","to_make_it_to",1600
"863","it_was_the_first",1600
"864","i_just_finished_a",1600
"865","be_able_to_make",1600
"866","you_are_the_best",1590
"867","if_you_live_in",1590
"868","to_find_out_what",1590
"869","it's_been_a_long",1590
"870","it's_gonna_be_a",1590
"871","so_that_you_can",1590
"872","don't_want_to_go",1590
"873","not_to_mention_the",1590
"874","i_think_i_can",1590
"875","to_take_advantage_of",1590
"876","cake_cake_cake_cake",1590
"877","over_the_next_few",1580
"878","this_is_not_the",1580
"879","just_let_me_know",1580
"880","one_of_the_biggest",1580
"881","and_i_love_it",1580
"882","are_you_coming_to",1580
"883","i_have_yet_to",1580
"884","we_are_looking_for",1580
"885","the_last_few_days",1580
"886","out_of_the_house",1580
"887","hard_for_me_to",1580
"888","it_is_one_of",1580
"889","it_all_the_time",1580
"890","to_get_ready_for",1580
"891","to_the_point_of",1580
"892","in_the_end_i",1570
"893","to_be_at_the",1570
"894","to_get_into_the",1570
"895","on_our_way_to",1570
"896","i_have_ever_seen",1570
"897","all_i_have_to",1570
"898","at_a_time_when",1570
"899","the_course_of_the",1570
"900","that_would_be_a",1570
"901","we_need_to_get",1570
"902","the_first_thing_i",1560
"903","as_a_way_to",1560
"904","and_i_went_to",1560
"905","if_you_want_a",1560
"906","forward_to_your_tweets",1560
"907","you_may_want_to",1560
"908","i_was_thinking_about",1560
"909","its_going_to_be",1560
"910","there_is_only_one",1560
"911","who_is_going_to",1560
"912","i_don't_feel_like",1560
"913","you_will_have_to",1560
"914","the_shit_out_of",1560
"915","be_able_to_see",1550
"916","at_this_point_i",1550
"917","quote_of_the_day",1550
"918","i_will_be_there",1550
"919","that_i_wanted_to",1550
"920","a_couple_of_months",1550
"921","the_last_few_years",1550
"922","what_do_you_mean",1550
"923","i_like_to_think",1550
"924","and_i_love_you",1550
"925","and_i_wanted_to",1550
"926","of_the_things_that",1550
"927","a_couple_of_hours",1550
"928","if_i_want_to",1550
"929","have_a_good_one",1540
"930","if_you're_looking_for",1540
"931","over_the_past_few",1540
"932","is_what_it_is",1540
"933","i_think_i_need",1540
"934","what_i'm_talking_about",1540
"935","as_a_matter_of",1540
"936","if_you_have_to",1540
"937","it_was_a_very",1530
"938","a_couple_of_times",1530
"939","you_i_love_you",1530
"940","it_is_easy_to",1530
"941","i'd_like_to_see",1520
"942","get_out_of_bed",1520
"943","no_matter_how_much",1520
"944","me_i_love_you",1520
"945","to_the_rest_of",1520
"946","and_it_will_be",1520
"947","but_i_have_a",1520
"948","every_once_in_a",1520
"949","i_have_decided_to",1520
"950","side_of_the_road",1520
"951","i_love_you_i",1520
"952","i'm_going_to_go",1520
"953","that_this_is_the",1520
"954","have_to_do_with",1520
"955","you_can_make_it",1520
